name,address,website,phone,keyword
"Nha Khoa Đại Nam - Nha khoa Quận 1(HCM)| Trồng răng Implant, Niềng răng, Răng sứ","179-181 Nguyễn Thị Minh Khai, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",https://dainamdental.vn/,+84 931 837 207,nha khoa quận 9
Nha khoa Lan Anh,"288/1 Huỳnh Văn Bánh, Phường 11, Phú Nhuận, Thành phố Hồ Chí Minh 700000, Vietnam",http://nhakhoalananh.com/,+84 28 3991 8854,nha khoa quận 9
Happy Smile Dental Clinic,"170 Đ. Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 700000, Vietnam",https://nhakhoahappy.vn/,+84 936 013 337,nha khoa quận 9
Nha Khoa Sài Gòn Center - Best Dentist In Ho Chi Minh City,"378B Võ Văn Tần, Phường 5, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",https://saigoncenterdental.com/,+84 973 199 986,nha khoa quận 9
"Nha Khoa Otis - Nha Khoa Uy Tín Quận 1 , chuyên nhổ răng khôn, bọc răng sứ, cạo vôi răng, tẩy trắng răng, niềng răng","25h Nguyễn Bỉnh Khiêm, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",https://otisdental.vn/,+84 919 625 825,nha khoa quận 9
NIMBUS DENTAL CLINIC,"174 Hoà Hưng, Phường 13, Quận 10, Thành phố Hồ Chí Minh 72700, Vietnam",N/A,+84 773 513 059,nha khoa quận 9
Nha khoa Asia CN Man Thiện - Bác Sĩ Uy Tín Đại Học Y Dược,"2 Man Thiện, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",https://nhakhoaasia.com/,+84 907 125 062,nha khoa quận 9
Thế Giới Implant - Nha Khoa Chuyên Sâu Trồng Răng An Toàn,"5 Đ. Kỳ Đồng, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam",http://thegioiimplant.com/,+84 978 282 828,nha khoa quận 9
Nha Khoa Hợp Nhất Q9,"8 Đường D3, Phước Long B, Quận 9, Thành phố Hồ Chí Minh, Vietnam",http://nhakhoahopnhat.com.vn/,+84 908 295 055,nha khoa quận 9
Parkview Dental Clinic - Nha khoa uy tín quận Phú Nhuận,"38 Trương Quốc Dung, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 70000, Vietnam",https://nhakhoaparkview.com/,+84 349 547 499,nha khoa quận 9
Nha khoa Apec,"Đ. Đỗ Xuân Hợp, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",http://nhakhoaapec.vn/,+84 909 902 626,nha khoa quận 9
Dental Phuoc Binh,"433 Đ. Đỗ Xuân Hợp, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",N/A,+84 906 361 616,nha khoa quận 9
Nha Khoa VIETDENT,"222 Trần Phú, Phường 9, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam",https://www.nhakhoavietdent.com/,+84 905 353 464,nha khoa quận 9
"Nha Khoa Kim - Hai Bà Trưng, Quận 1","150-152 Hai Bà Trưng, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",https://nhakhoakim.com/,+84 28 7308 6899,nha khoa quận 9
Van Hanh Dental Clinics,"159 Trần Quốc Thảo, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 28 3829 5625,nha khoa quận 9
Nha Khoa Ngọc Anh Quận 9,"473 Đ. Đỗ Xuân Hợp, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 941 945 686,nha khoa quận 9
Nha khoa Uni Luxury Q9,"141 Liên Phường, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh 710000, Vietnam",http://nhakhoauni.com/,+84 886 688 123,nha khoa quận 9
Phòng Khám Nha Khoa Thanh Thuý,"1242 Nguyễn Duy Trinh, Long Trường, Quận 9, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 908 479 877,nha khoa quận 9
Ngọc Lam Dental Clinic,"45 Đường số 7, Phước Bình, Quận 9, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 846 144 188,nha khoa quận 9
Nha Khoa Hi - Tech Smile,"656 Đ. Đỗ Xuân Hợp, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 28 7303 3315,nha khoa quận 9
Nha khoa Sài Gòn Q9,"68C Đình Phong Phú, Tăng Nhơn Phú B, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 902 819 162,nha khoa quận 9
Nha Khoa SAIDO,"258 Huỳnh Văn Bánh, Phường 11, Phú Nhuận, Thành phố Hồ Chí Minh 700000, Vietnam",http://nhakhoasaido.vn/,+84 903 647 555,nha khoa quận 9
Dental Southeast,"411 Nguyễn Kiệm, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 700000, Vietnam",https://nhakhoadongnam.com/,+84 972 411 411,nha khoa quận 9
NHA KHOA APEC - LÊ VĂN VIỆT,"Saigon Villas Hill, Lô a3-a4, 99 Lê Văn Việt, Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh, Vietnam",http://nhakhoaapec.vn/,+84 909 802 626,nha khoa quận 9
Nha khoa Việt Hàn 04 CN Trần Quang Khải Quận 1,"208 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",https://nhakhoaviethan04.com.vn/,+84 971 040 404,nha khoa quận 9
Nha khoa BSTrần Thanh Trung,"10/62 Đ. Kỳ Đồng, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam",N/A,+84 946 462 112,nha khoa quận 9
Bác sĩ nha khoa Implant Minh Đức,"198a Cao Thắng, Phường 12, Quận 10 355 Lý Thái Tổ, Phường 9, 696 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",https://sites.google.com/view/nhasiminhduc/home,+84 767 043 300,nha khoa quận 9
Nha Khoa Hạnh Nguyên,"479 - 481 Lý Thái Tổ, Phường 9, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",https://nhakhoahanhnguyen.com/,+84 28 3927 2923,nha khoa quận 9
Nha Khoa Quế Chi,"69/9 Nguyễn Đình Chính, Phường 15, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam",https://nhakhoatotnhat.com/nha-khoa-phu-nhuan/nha-khoa-que-chi-69-9-nguyen-dinh-chinh-phuong-15-phu-nhuan-603.html,+84 918 325 898,nha khoa quận 9
Nha Khoa Aaa,"416 Lý Thái Tổ, Phường 9, Quận 10, Thành phố Hồ Chí Minh, Vietnam",https://vncare.net/nha-khoa-aaa-tp-hcm,+84 909 389 305,nha khoa quận 9
Nha Khoa Eden Quận 1 - Eden Dental Clinic D1 - Nha Khoa Uy Tín Quận 1,"187 Điện Biên Phủ, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",https://www.nhakhoaeden.vn/,+84 901 979 047,nha khoa quận 9
Nha Khoa Tấm Dentist Quận 3,"298 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",https://nieng-rang.com/,+84 966 080 638,nha khoa quận 9
Nha Khoa OneWay,"252/9 Cao Thắng, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",https://nhakhoaoneway.vn/,+84 816 733 838,nha khoa quận 9
